instance_id,run_name,run_version,model,reasoning_effort,inference_mode,paper_compliant,score,resolved,almost_resolved,evaluator_problem,error_code,n_system_errors,n_warnings,n_resolved_tests,n_tests,calls,wall_clock_seconds,estimated_cost_usd,host_system,host_machine,docker_cpus,docker_memory,pricing_source,prompt,prompt_path,prompt_sha256
abishekvashok__cmatrix.5c082c6,cpx62-miniswecompat-xhigh-20260517T094700Z-abishekvashok-cmatrix,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,1.0,True,True,False,,0,0,507,507,55,624,3.5443,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
agourlay__zip-password-finder.704700d,cpx62-miniswecompat-xhigh-20260517T094700Z-agourlay-zip-password-finder,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.925,False,False,False,,0,0,629,680,37,780,1.8627,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ajeetdsouza__zoxide.67ca1bc,cpx62-miniswecompat-xhigh-20260517T094700Z-ajeetdsouza-zoxide,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.7589453860640302,False,False,False,,0,0,403,531,61,795,3.6921,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
alecthomas__chroma.8d04def,cpx62-miniswecompat-xhigh-20260517T094700Z-alecthomas-chroma,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.0,False,False,True,,0,0,0,503,74,644,4.7568,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
alexpovel__srgn.89f943b,cpx62-miniswecompat-xhigh-20260517T094700Z-alexpovel-srgn-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8234341252699784,False,False,False,,0,0,1525,1852,84,1203,5.8941,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
altdesktop__i3-style.f93821b,cpx62-miniswecompat-xhigh-20260517T094700Z-altdesktop-i3-style,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.9202226345083488,False,False,False,,0,0,496,539,47,764,3.3065,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ammarabouzor__tui-journal.2b4540d,cpx62-miniswecompat-xhigh-20260517T094700Z-ammarabouzor-tui-journal,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.08624376336421953,False,False,True,,0,1,121,1403,83,805,4.6525,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
anordal__shellharden.6a6ffd4,cpx62-miniswecompat-xhigh-20260517T094700Z-anordal-shellharden,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.8958904109589041,False,False,False,,0,0,981,1095,80,940,4.9876,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
antonmedv__fx.86d0d34,cpx62-miniswecompat-xhigh-20260517T094700Z-antonmedv-fx-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.040058622374206154,False,False,False,,0,0,82,2047,118,1130,6.9015,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
antonmedv__walk.bf802ef,cpx62-miniswecompat-xhigh-20260517T094700Z-antonmedv-walk,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.5531914893617021,False,False,False,,0,0,260,470,56,711,3.3417,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
ariga__atlas.6d81150,cpx62-miniswecompat-xhigh-20260517T094700Z-ariga-atlas-attempt-2,20260517T094700Z,gpt-5.5,xhigh,mini-swe-compatible-nointernet,False,0.6570561456752656,False,False,False,,0,0,866,1318,116,1251,6.6131,Linux,x86_64,16,30g,https://developers.openai.com/api/docs/models/gpt-5.5,Mini-SWE-Compatible No Internet,prompt/mini-swe-compatible-nointernet/,78be3d42ed7efe84f5ed66a4ae175a428db4afbc0e1a03f048fd94c8e4e31853
